A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/4.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/4.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Shanghai,PM2.5,1/1/2017 0:00,2017,1,1,0,42,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/1/2017 1:00,2017,1,1,1,46,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/1/2017 2:00,2017,1,1,2,56,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/1/2017 3:00,2017,1,1,3,49,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/1/2017 4:00,2017,1,1,4,51,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/1/2017 5:00,2017,1,1,5,49,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/1/2017 6:00,2017,1,1,6,43,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/1/2017 7:00,2017,1,1,7,47,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/1/2017 8:00,2017,1,1,8,52,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/1/2017 9:00,2017,1,1,9,45,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/1/2017 10:00,2017,1,1,10,44,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/1/2017 11:00,2017,1,1,11,36,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/1/2017 12:00,2017,1,1,12,25,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/1/2017 13:00,2017,1,1,13,38,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/1/2017 14:00,2017,1,1,14,30,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/1/2017 15:00,2017,1,1,15,29,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/1/2017 16:00,2017,1,1,16,30,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/1/2017 17:00,2017,1,1,17,33,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/1/2017 18:00,2017,1,1,18,34,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/1/2017 19:00,2017,1,1,19,38,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/1/2017 20:00,2017,1,1,20,40,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/1/2017 21:00,2017,1,1,21,42,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/1/2017 22:00,2017,1,1,22,36,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/1/2017 23:00,2017,1,1,23,39,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2017 0:00,2017,1,2,0,41,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2017 1:00,2017,1,2,1,49,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2017 2:00,2017,1,2,2,40,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2017 3:00,2017,1,2,3,37,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2017 4:00,2017,1,2,4,41,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2017 5:00,2017,1,2,5,43,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2017 6:00,2017,1,2,6,49,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2017 7:00,2017,1,2,7,47,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/2/2017 8:00,2017,1,2,8,73,µg/m³,1 Hr,Valid
